cpu_usage,mem_usage
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3187.0,158712.0
3187.0,158712.0
3187.0,158712.0
3188.0,158712.0
3183.0,158712.0
3183.0,158712.0
3184.0,158712.0
3184.0,158712.0
3184.0,158712.0
3185.0,158712.0
3185.0,158712.0
3185.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3187.0,158712.0
3187.0,158712.0
3187.0,158712.0
3187.0,158712.0
3183.0,158712.0
3183.0,158712.0
3184.0,158712.0
3184.0,158712.0
3184.0,158712.0
3185.0,158712.0
3185.0,158712.0
3185.0,158712.0
3185.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3187.0,158712.0
3187.0,158712.0
3187.0,158712.0
3183.0,158712.0
3183.0,158712.0
3184.0,158712.0
3184.0,158712.0
3184.0,158712.0
3185.0,158712.0
3185.0,158712.0
3185.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3186.0,158712.0
3187.0,158712.0
3187.0,158712.0
3187.0,158712.0
3188.0,158712.0
3183.0,158740.0
3184.0,158740.0
3184.0,158740.0
3184.0,158740.0
3185.0,158740.0
3185.0,158740.0
3185.0,158740.0
3185.0,158740.0
3186.0,158740.0
3186.0,158740.0
3186.0,158740.0
3186.0,158740.0
3187.0,158740.0
3187.0,158740.0
3187.0,158740.0
3188.0,158740.0
3184.0,158740.0
3184.0,158740.0
3184.0,158740.0
3184.0,158740.0
3185.0,158740.0
3185.0,158740.0
